intent,id,support,correct,accuracy,precision,recall,f1,predicted_total
Cmd.ActivityAerobics,0,46,39,0.8478260869565217,0.8478260869565217,0.8478260869565217,0.8478260869565218,46
Cmd.ActivityCalories,1,46,43,0.9347826086956522,0.7962962962962963,0.9347826086956522,0.8599999999999999,54
Cmd.ActivityCycle,2,47,35,0.7446808510638298,0.9210526315789473,0.7446808510638298,0.8235294117647057,38
Cmd.ActivityExercise,3,52,40,0.7692307692307693,0.7017543859649122,0.7692307692307693,0.7339449541284404,57
Cmd.ActivityRun,4,60,47,0.7833333333333333,0.6351351351351351,0.7833333333333333,0.7014925373134329,74
Cmd.ActivityStand,5,61,58,0.9508196721311475,0.8405797101449275,0.9508196721311475,0.8923076923076922,69
Cmd.ActivityStep,6,59,58,0.9830508474576272,0.9666666666666667,0.9830508474576272,0.9747899159663865,60
Cmd.ActivityWalk,7,57,40,0.7017543859649122,1.0,0.7017543859649122,0.8247422680412371,40
Cmd.BatteryLevel,8,115,67,0.5826086956521739,0.8271604938271605,0.5826086956521739,0.6836734693877551,81
Cmd.FindMyPhone,9,104,100,0.9615384615384616,0.45662100456621,0.9615384615384616,0.6191950464396285,219
Cmd.ListenMessage,10,85,75,0.8823529411764706,0.7352941176470589,0.8823529411764706,0.8021390374331552,102
Cmd.MemoryChange,11,1601,1343,0.8388507183010618,0.9846041055718475,0.8388507183010618,0.9059021922428331,1364
Cmd.SendMessage,12,154,124,0.8051948051948052,0.8551724137931035,0.8051948051948052,0.8294314381270904,145
Cmd.StreamingStart,13,178,112,0.6292134831460674,0.7567567567567568,0.6292134831460674,0.6871165644171779,148
Cmd.StreamingStop,14,60,21,0.35,0.6774193548387096,0.35,0.4615384615384615,31
Cmd.TranscribeStart,15,50,41,0.82,0.41836734693877553,0.82,0.5540540540540541,98
Cmd.TranslationStart,16,63,55,0.873015873015873,0.5612244897959183,0.873015873015873,0.6832298136645963,98
Cmd.VolumeDecrease,17,256,156,0.609375,0.7188940092165899,0.609375,0.6596194503171248,217
Cmd.VolumeIncrease,18,215,169,0.786046511627907,0.4747191011235955,0.786046511627907,0.5919439579684763,356
Cmd.VolumeMute,19,100,65,0.65,0.5855855855855856,0.65,0.6161137440758293,111
Cmd.VolumeUnmute,20,110,58,0.5272727272727272,0.6105263157894737,0.5272727272727272,0.5658536585365853,95
Default Fallback Intent,21,1191,625,0.5247691015952981,0.6913716814159292,0.5247691015952981,0.5966587112171838,904
Help_Accessories,22,130,103,0.7923076923076923,0.8174603174603174,0.7923076923076923,0.8046874999999999,126
Help_AppSettings,23,46,42,0.9130434782608695,0.4077669902912621,0.9130434782608695,0.563758389261745,103
Help_Battery,24,47,34,0.723404255319149,0.723404255319149,0.723404255319149,0.723404255319149,47
Help_ChangingMemories,25,134,117,0.8731343283582089,0.9435483870967742,0.8731343283582089,0.9069767441860465,124
Help_CleanCare,26,57,47,0.8245614035087719,0.46534653465346537,0.8245614035087719,0.5949367088607594,101
Help_Customize,27,57,40,0.7017543859649122,0.40404040404040403,0.7017543859649122,0.5128205128205128,99
Help_DemoMode,28,44,38,0.8636363636363636,0.6785714285714286,0.8636363636363636,0.76,56
Help_DeviceSettings,29,129,85,0.6589147286821705,0.4207920792079208,0.6589147286821705,0.5135951661631419,202
Help_EdgeMode,30,56,49,0.875,0.9423076923076923,0.875,0.9074074074074073,52
Help_FallAlert,31,112,109,0.9732142857142857,0.8650793650793651,0.9732142857142857,0.9159663865546218,126
Help_FindMyHearingAids,32,224,204,0.9107142857142857,0.7083333333333334,0.9107142857142857,0.796875,288
Help_Health,33,50,41,0.82,0.640625,0.82,0.7192982456140351,64
Help_HearShare,34,72,66,0.9166666666666666,0.75,0.9166666666666666,0.8250000000000001,88
Help_HearingCareAnywhereConnect,35,47,31,0.6595744680851063,0.19135802469135801,0.6595744680851063,0.29665071770334933,162
Help_HeartRate,36,51,47,0.9215686274509803,0.7580645161290323,0.9215686274509803,0.831858407079646,62
Help_HeartRateRecovery,37,46,45,0.9782608695652174,0.9,0.9782608695652174,0.9375,50
Help_Home,38,104,45,0.4326923076923077,0.6428571428571429,0.4326923076923077,0.5172413793103448,70
Help_InsertDevice,39,60,43,0.7166666666666667,0.6142857142857143,0.7166666666666667,0.6615384615384615,70
Help_IntelliVoice,40,92,84,0.9130434782608695,0.8484848484848485,0.9130434782608695,0.8795811518324607,99
Help_MaskMode,41,48,47,0.9791666666666666,0.6025641025641025,0.9791666666666666,0.7460317460317459,78
